,trial_id,state,value,datetime_start,datetime_complete,params,params,params
,,,,,,batch_size,fc_units,learning_rate
84,84,TrialState.COMPLETE,400.0,2018-12-05 06:02:46.147941,2018-12-05 06:11:32.786318,256,32,0.0005
85,85,TrialState.COMPLETE,393.0,2018-12-05 06:11:32.817689,2018-12-05 06:20:18.632394,256,32,0.001
86,86,TrialState.COMPLETE,402.0,2018-12-05 06:20:18.656700,2018-12-05 06:28:02.544642,128,64,0.0005
87,87,TrialState.COMPLETE,350.0,2018-12-05 06:28:02.569010,2018-12-05 06:35:56.085448,256,32,0.0005
88,88,TrialState.COMPLETE,392.0,2018-12-05 06:35:56.109640,2018-12-05 06:44:33.621506,256,32,0.0005
89,89,TrialState.COMPLETE,404.0,2018-12-05 06:44:33.646114,2018-12-05 06:53:23.356491,256,32,0.0001
90,90,TrialState.COMPLETE,538.0,2018-12-05 06:53:23.380981,2018-12-05 07:04:37.733193,256,32,5e-05
91,91,TrialState.COMPLETE,393.0,2018-12-05 07:04:37.757463,2018-12-05 07:13:18.253895,256,64,0.0005
92,92,TrialState.COMPLETE,374.0,2018-12-05 07:13:18.278704,2018-12-05 07:21:37.930588,256,32,0.001
93,93,TrialState.COMPLETE,390.0,2018-12-05 07:21:37.963560,2018-12-05 07:30:19.058757,256,32,0.0005
94,94,TrialState.COMPLETE,388.0,2018-12-05 07:30:19.204888,2018-12-05 07:38:52.459347,256,32,0.0005
95,95,TrialState.COMPLETE,430.0,2018-12-05 07:38:52.484974,2018-12-05 07:48:21.104398,256,64,0.0001
